vote_date,milestone,source,vote_id,politician,party,vote
2021-05-19,TSG repeal / self-determination bill (rejected),abgeordnetenwatch,4146,Annalena Baerbock,DIE GRÜNEN,yes
2021-05-19,TSG repeal / self-determination bill (rejected),abgeordnetenwatch,4146,Robert Habeck,,not in Bundestag
2021-05-19,TSG repeal / self-determination bill (rejected),abgeordnetenwatch,4146,Alice Weidel,AfD,no_show
2021-05-19,TSG repeal / self-determination bill (rejected),abgeordnetenwatch,4146,Jens Spahn,CDU/CSU,no
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Olaf Scholz,SPD,no_show
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Angela Merkel,,not in Bundestag
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Friedrich Merz,CDU/CSU,no
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Christian Lindner,FDP,no_show
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Annalena Baerbock,BÜNDNIS 90/­DIE GRÜNEN,yes
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Robert Habeck,BÜNDNIS 90/­DIE GRÜNEN,yes
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Alice Weidel,AfD,no_show
2024-04-12,Self-Determination Act (SBGG),abgeordnetenwatch,5496,Jens Spahn,CDU/CSU,no
